Capacity,RatedHead,NPSH,Efficiency,MinHead,MaxHead,Power,Head (600 rpm),Head (1200 rpm),Head (1500 rpm),Head (2200 rpm),Head (2800 rpm)
0,3409.6933,,,2595.8881,3496.219,867.4632,97.9515,391.8062,612.1972,1316.9041,2133.167
17.7448,3408.6073,,0.0172,2594.8408,3495.1302,877.0395,97.7455,391.4194,611.7205,1316.2182,2132.3019
35.4897,3407.4637,,0.0342,2593.7413,3493.9833,886.4909,97.4948,390.9818,611.1913,1315.477,2131.3802
53.2345,3406.2664,,0.0509,2592.5941,3492.782,895.8165,97.2017,390.5007,610.6162,1314.6861,2130.4067
70.9793,3405.0187,,0.0673,2591.4028,3491.5298,905.0153,96.8516,389.9792,609.9994,1313.8498,2129.3851
88.7242,3403.7236,,0.0833,2590.1705,3490.2296,914.0867,96.4133,389.4163,609.3426,1312.971,2128.3186
106.469,3402.3835,,0.099,2588.8994,3488.8837,923.0297,95.8391,388.8068,608.6444,1312.0517,2127.2096
124.2138,3401.0003,,0.1144,2587.5915,3487.4942,931.8438,95.0645,388.1413,607.9011,1311.0923,2126.0596
141.9587,3399.5756,,0.1295,2586.2479,3486.0626,940.5285,94.0085,387.4063,607.1062,1310.0923,2124.8695
159.7035,3398.1103,,0.1444,2584.869,3484.5898,949.0831,92.5734,386.5842,606.2505,1309.0496,2123.6393
177.4483,3396.605,,0.1589,2583.4548,3483.0765,957.5073,90.6449,385.6532,605.3224,1307.9612,2122.3685
195.1932,3395.0597,,0.1733,2582.0045,3481.5227,965.8009,88.092,384.5873,604.3072,1306.8227,2121.0554
212.938,3393.4739,,0.1874,2580.5167,3479.9282,973.9634,84.7672,383.3563,603.1879,1305.6286,2119.6979
221.8104,3392.6656,,0.1943,2579.7581,3479.1154,977.9955,82.7647,382.6684,602.5832,1305.0085,2119.0015
230.6828,3391.8468,13.5919,0.2012,2578.9894,3478.292,981.9947,80.5064,381.926,601.9447,1304.3718,2118.2929
248.4276,3390.177,13.528,0.2149,2577.42,3476.6129,989.8948,75.1286,380.258,600.5552,1303.0444,2116.8369
266.1725,3388.4625,13.4682,0.2283,2575.8051,3474.889,997.6636,68.4363,378.3095,598.9943,1301.637,2115.3251
283.9173,3386.7012,13.4133,0.2416,2574.1409,3473.1183,1005.3011,60.2157,376.0339,597.2341,1300.1391,2113.7524
297.0502,3385.3657,13.3762,0.2513,2572.8748,3471.776,1010.8692,,374.1093,595.7853,1298.9653,2112.5457
301.6621,3384.8901,13.364,0.2546,2572.4228,3471.298,1012.8075,,373.3803,595.2443,1298.5389,2112.1127
319.407,3383.0259,13.3211,0.2675,2570.6456,3469.4249,1020.1831,,370.2935,592.9918,1296.8232,2110.3992
337.1518,3381.1049,13.2855,0.2802,2568.8036,3467.4954,1027.428,,366.7143,590.4408,1294.978,2108.6043
354.8966,3379.1228,13.2577,0.2927,2566.8903,3465.5054,1034.5427,,362.5795,587.553,1292.9876,2106.7197
372.6415,3377.0748,13.2385,0.3051,2564.8986,3463.4504,1041.5276,,357.8212,584.2872,1290.8353,2104.7364
390.3863,3374.9559,13.2285,0.3174,2562.8208,3461.3254,1048.3832,,352.368,580.5998,1288.5032,2102.6444
408.1311,3372.7602,13.2285,0.3294,2560.6486,3459.1248,1055.1102,,346.1439,576.4443,1285.972,2100.4331
