scenario_id,nominal_leak1_gpm,nominal_leak2_gpm,leak_source,pump_outlet_flow_gpm_num_samples,pump_outlet_flow_gpm_duration_seconds,pump_outlet_flow_gpm_mean,pump_outlet_flow_gpm_std,pump_outlet_flow_gpm_min,pump_outlet_flow_gpm_max,pump_outlet_flow_gpm_range,pump_outlet_flow_gpm_median,pump_outlet_flow_gpm_q25,pump_outlet_flow_gpm_q75,pump_outlet_flow_gpm_iqr,pump_outlet_flow_gpm_rms,pump_outlet_flow_gpm_initial,pump_outlet_flow_gpm_final,pump_outlet_flow_gpm_delta,pump_outlet_flow_gpm_mean_abs_diff,pump_outlet_flow_gpm_std_diff,pump_outlet_flow_gpm_max_abs_diff,pump_outlet_flow_gpm_trend_slope_per_sec,pump_outlet_flow_gpm_area,pump_outlet_pressure_psi_num_samples,pump_outlet_pressure_psi_duration_seconds,pump_outlet_pressure_psi_mean,pump_outlet_pressure_psi_std,pump_outlet_pressure_psi_min,pump_outlet_pressure_psi_max,pump_outlet_pressure_psi_range,pump_outlet_pressure_psi_median,pump_outlet_pressure_psi_q25,pump_outlet_pressure_psi_q75,pump_outlet_pressure_psi_iqr,pump_outlet_pressure_psi_rms,pump_outlet_pressure_psi_initial,pump_outlet_pressure_psi_final,pump_outlet_pressure_psi_delta,pump_outlet_pressure_psi_mean_abs_diff,pump_outlet_pressure_psi_std_diff,pump_outlet_pressure_psi_max_abs_diff,pump_outlet_pressure_psi_trend_slope_per_sec,pump_outlet_pressure_psi_area
1,0,0,none,312,10,656.937081924553,529.166201171592,-5.92793987091374e-05,1410.77548043,1410.7755397094,687.311513275208,73.7206813934568,1216.36275851879,1142.64207712534,843.021772024246,-1.3965195709931e-05,1410.77548043,1410.7754943952,5.82753504277846,29.3242790739446,382.522355292715,211.466695584588,9390.67917908559,312,10,405.974107855215,62.9966283331844,110.697110181063,537.639547635227,426.942437454163,383.551685034341,374.963824319166,444.483294658876,69.5194703397106,410.817272808653,324.332592296231,537.639547635227,213.306955338995,2.05973607578564,9.79927342505819,88.6006817953684,25.9244598044857,4105.29632671137
2,10,0,segment1,460,10,855.326125445072,553.203754260967,-5.06307930347402e-05,1404.2189387049,1404.21898933569,1124.35619943859,326.824403954422,1383.78717250212,1056.9627685477,1018.3083434977,6.75472917505921,1404.2189387049,1397.46420952984,4.02405325287616,24.1487881366923,328.974164812736,160.666472873598,9533.1270468527,460,10,374.718470624316,93.9123713077053,110.683328996054,495.748857128789,385.065528132735,372.323794962785,323.959555310287,469.442445812444,145.482890502157,386.282659218328,322.71010256228,495.748857128789,173.038754566508,1.30085469257558,7.56801055833721,86.5685494818594,27.6334801080269,3730.22740492459
3,20,0,segment1,476,10,857.549792512381,552.097204896112,-5.04369883775483e-05,1404.2301256529,1404.23017608989,1124.89153300605,332.233620762487,1387.74526388401,1055.51164312153,1019.58943225618,13.6484561273326,1404.2301256529,1390.58166952557,3.93935463286009,23.8444220545773,334.281894012694,158.231889797575,9525.08301721326,476,10,374.664263457054,93.0078742163912,110.669508629573,493.440992335483,382.771483705911,370.407562665203,322.196882803233,470.381819853775,148.184937050543,386.012437277572,321.071293009365,493.440992335483,172.369699326118,1.24878583402559,7.3807047078904,84.511165158839,27.0737890710447,3713.3315697816
4,30,0,segment1,473,10,838.58575098164,555.890936903744,-5.01824908190608e-05,1404.23030237557,1404.23035255806,1040.25973168885,335.819496862231,1391.28357027844,1055.4640734162,1005.77705649713,20.5069359453027,1404.23030237557,1383.72336643026,3.93313730052261,23.9909231633292,339.510206155001,155.032371263627,9545.68057764901,473,10,370.832407430434,94.1729698841087,110.656231822559,491.174667424537,380.518435601978,359.752601607688,320.434098934693,471.258071634514,150.823972699821,382.578714886183,319.453906767811,491.174667424537,171.720760656726,1.24855109034709,7.3490660986135,82.4772093870575,26.7246832844723,3696.5723344744
5,40,0,segment1,477,10,846.101750503804,556.693780398215,-4.97303503576961e-05,1404.21956235364,1404.21961208399,1088.05501870496,340.123198173729,1386.30226329874,1046.17906512501,1012.4951531275,27.3295260987092,1404.21956235364,1376.89003625493,3.9531342180589,23.9772416454411,344.753881119764,152.338173982432,9534.64134527354,477,10,369.898441849909,95.3952822778731,110.64450765868,489.2132181101,378.56871045142,362.928063383193,318.729474178553,472.180720241071,153.451246062518,381.976490180885,317.857718931341,489.2132181101,171.35549917876,1.2306343006079,7.26081070558533,80.4662162258788,26.6694039663614,3683.30883609895
7,60,0,segment1,471,10,848.339563547918,555.516494515359,-4.91291255205937e-05,1404.33857065693,1404.33861978606,1087.05908009415,350.431186920168,1392.69769867077,1042.2665117506,1013.71760963536,40.8647137342153,1404.33857065693,1363.47385692272,4.02514347049066,24.3272449656685,355.425561750315,146.412634939036,9560.32502720278,471,10,366.641647727759,98.427347052559,110.618951995321,484.778378652146,374.159426656825,358.700951350352,315.262364225849,473.913270725724,158.650906499875,379.596458908634,314.728006207454,484.778378652146,170.050372444693,1.23035848667505,7.2005251652204,76.5142246970175,26.4597363264912,3650.6179319205
8,70,0,segment1,490,10,803.812920920861,573.044623955719,-4.88332619862432e-05,1404.42409579473,1404.42414462799,987.679130796802,351.439498290773,1395.08006904413,1043.64057075336,986.82581509136,47.580519853173,1404.42409579473,1356.84357594155,3.91201430870765,23.929745026445,359.512604538609,149.569376424381,9542.61775181301,490,10,361.122324569116,97.8543935166158,110.606269737064,482.575653097714,371.969383360649,344.842784801388,313.478617290902,474.702465396483,161.223848105581,374.119331005539,313.193032870732,482.575653097714,169.382620226982,1.1753039004569,7.00403993542231,74.5712586414751,26.1269459991101,3635.97327490232
9,80,0,segment1,483,10,791.65383184903,578.090851741154,-4.85385258126083e-05,1404.52245688757,1404.52250542609,943.977763143212,352.597963433484,1397.1086437072,1044.51068027372,979.904546161771,54.2614438364554,1404.52245688757,1350.26101305111,3.95159186889832,24.0384800397471,361.053456343827,148.135191293081,9554.71846461992,483,10,358.964238323709,98.1484546961237,110.593653967399,480.378594222665,369.784940255267,338.320557242168,311.812268409284,475.445378554793,163.633110145509,372.113556872727,311.677613313336,480.378594222665,168.70098090933,1.18467692739214,6.98744978107061,72.802294243248,25.7933287697808,3619.90547569046
11,100,0,segment1,354,10,580.977823621419,526.453846274688,-4.79604943876034e-05,1404.72378226378,1404.72383022427,377.815941269733,13.8871520294269,1158.12738853429,1144.24023650486,783.52151462207,67.3546642720174,1404.72378226378,1337.36911799176,5.3885649434267,27.9594421095023,363.925641896741,202.224135126095,9565.56824081957,354,10,314.344847856988,80.6397562407728,110.568929595774,476.092530379317,365.523600783543,310.376557413166,307.083341102521,361.122035842397,54.0386947398758,324.49512207923,308.740640902233,476.092530379317,167.351889477084,1.59721764101128,8.01098592279308,72.8320462717448,30.1802072678085,3588.20110153227
12,0,10,segment2,326,10,647.604095507589,510.519556308879,-5.92777904291925e-05,1410.78458417825,1410.78464345604,453.937808544238,73.7965334278575,1189.4436676003,1115.64713417244,824.149138625782,-1.39623508074973e-05,1410.78458417825,1410.7845981406,5.56169723507245,28.6936520511663,382.529237439639,209.256507556886,9390.89676790256,326,10,403.935497082978,61.3230433547581,110.697110012168,537.60751885428,426.910408842112,380.228659782885,374.969793170655,435.620787263035,60.6509940923792,408.549710715714,324.332592127556,537.60751885428,213.274926726724,1.97091043371539,9.58591115195685,88.6006817553816,25.8924852790561,4105.16086561081
