scenario_id,nominal_leak1_gpm,nominal_leak2_gpm,leak1_opening,leak2_opening,leak1_present,leak2_present,leak_source,status,output_file,error_message,elapsed_seconds,actual_leak1_gpm_mean,actual_leak2_gpm_mean,actual_leak1_gpm_final,actual_leak2_gpm_final
1,0,0,0,0,0,0,none,completed,C:\Users\agarcian\OneDrive - MathWorks\Documents\CSE Info\Accounts\TAMU\SPE Student Group\pipeline-design-with-matlab-and-simulink\synthetic_leak_data\20260915_123012\scenario_0001_l1_000p00_gpm_l2_000p00_gpm.mat,"",3.3762889,1.57293211489962e-08,3.92908618330431e-09,1.60782248251346e-08,4.00207074303388e-09
2,10,0,0.1,0,1,0,segment1,completed,C:\Users\agarcian\OneDrive - MathWorks\Documents\CSE Info\Accounts\TAMU\SPE Student Group\pipeline-design-with-matlab-and-simulink\synthetic_leak_data\20260915_123012\scenario_0002_l1_010p00_gpm_l2_000p00_gpm.mat,"",2.9779753,7.41327535873647,3.6143530354237e-09,7.56625752027134,3.70551983500974e-09
3,20,0,0.2,0,1,0,segment1,completed,C:\Users\agarcian\OneDrive - MathWorks\Documents\CSE Info\Accounts\TAMU\SPE Student Group\pipeline-design-with-matlab-and-simulink\synthetic_leak_data\20260915_123012\scenario_0003_l1_020p00_gpm_l2_000p00_gpm.mat,"",2.7104607,15.0103082139939,3.61215736749546e-09,15.2884786009934,3.69281910988307e-09
4,30,0,0.3,0,1,0,segment1,completed,C:\Users\agarcian\OneDrive - MathWorks\Documents\CSE Info\Accounts\TAMU\SPE Student Group\pipeline-design-with-matlab-and-simulink\synthetic_leak_data\20260915_123012\scenario_0004_l1_030p00_gpm_l2_000p00_gpm.mat,"",2.9193698,22.6023473030321,3.6108433450759e-09,22.9720366283749,3.68065809448463e-09
5,40,0,0.4,0,1,0,segment1,completed,C:\Users\agarcian\OneDrive - MathWorks\Documents\CSE Info\Accounts\TAMU\SPE Student Group\pipeline-design-with-matlab-and-simulink\synthetic_leak_data\20260915_123012\scenario_0005_l1_040p00_gpm_l2_000p00_gpm.mat,"",2.4554381,30.1834824937109,3.60925944689907e-09,30.6193120453335,3.66914726040419e-09
6,50,0,0.5,0,1,0,segment1,failed,,"['pipeline_with_pump_leaks/Reservoir/Solver Configuration']: Transient initialization at time 2.2, solving for consistent states and modes, failed to converge.
Caused by:
    Nonlinear solver: failed to converge, residual norm too large.
        These components have equations that did not converge:

<a href=""matlab:das_dv_hyperlink('DAS', 'mdl', 'pipeline_with_pump_leaks/Check Valve (TL)')"">'pipeline_with_pump_leaks/Check Valve (TL)'</a>
Equation location is:
'fluids.thermal_liquid.valves.pressure_control_valves.pressure_compensator_valve'(no line number info)
Equation location is:
'fluids.thermal_liquid.valves.pressure_control_valves.pressure_compensator_valve'(no line number info)
Equation location is:
'fluids.thermal_liquid.valves.pressure_control_valves.pressure_compensator_valve'(no line number info)
Equation location is:
'fluids.thermal_liquid.valves.pressure_control_valves.pressure_compensator_valve'(no line number info)

<a href=""matlab:das_dv_hyperlink('DAS', 'mdl', 'pipeline_with_pump_leaks/PumpSystem/Main Pump')"">'pipeline_with_pump_leaks/PumpSystem/Main Pump'</a>
Equation location is:
<a href=""matlab:opentoline(which('fluids.thermal_liquid.pumps_motors.centrifugal_pump'), 431)""> 'fluids.thermal_liquid.pumps_motors.centrifugal_pump'</a> (line 431)
Equation location is:
<a href=""matlab:opentoline(which('fluids.thermal_liquid.pumps_motors.centrifugal_pump'), 404)""> 'fluids.thermal_liquid.pumps_motors.centrifugal_pump'</a> (line 404)

<a href=""matlab:das_dv_hyperlink('DAS', 'mdl', 'pipeline_with_pump_leaks/PipeSegment1A')"">'pipeline_with_pump_leaks/PipeSegment1A'</a>
Equation location is:
<a href=""matlab:opentoline(which('foundation.thermal_liquid.port_convection'), 46)""> 'foundation.thermal_liquid.port_convection'</a> (line 46)
Equation location is:
<a href=""matlab:opentoline(which('foundation.thermal_liquid.port_convection'), 92)""> 'foundation.thermal_liquid.port_convection'</a> (line 92)

<a href=""matlab:das_dv_hyperlink('DAS', 'mdl', 'pipeline_with_pump_leaks/PumpSystem/Main Pump')"">'pipeline_with_pump_leaks/PumpSystem/Main Pump'</a>
Equation location is:
<a href=""matlab:opentoline(which('fluids.thermal_liquid.pumps_motors.centrifugal_pump'), 468)""> 'fluids.thermal_liquid.pumps_motors.centrifugal_pump'</a> (line 468)

<a href=""matlab:das_dv_hyperlink('DAS', 'mdl', 'pipeline_with_pump_leaks/PipeSegment1A')"">'pipeline_with_pump_leaks/PipeSegment1A'</a>
Equation location is:
<a href=""matlab:opentoline(which('foundation.thermal_liquid.port_convection'), 46)""> 'foundation.thermal_liquid.port_convection'</a> (line 46)
Equation location is:
<a href=""matlab:opentoline(which('foundation.thermal_liquid.port_convection'), 95)""> 'foundation.thermal_liquid.port_convection'</a> (line 95)
",18.0903403,NaN,NaN,NaN,NaN
7,60,0,0.6,0,1,0,segment1,completed,C:\Users\agarcian\OneDrive - MathWorks\Documents\CSE Info\Accounts\TAMU\SPE Student Group\pipeline-design-with-matlab-and-simulink\synthetic_leak_data\20260915_123012\scenario_0007_l1_060p00_gpm_l2_000p00_gpm.mat,"",5.3913526,45.3259759896392,3.60580341236545e-09,45.7863948174,3.64733420703636e-09
8,70,0,0.7,0,1,0,segment1,completed,C:\Users\agarcian\OneDrive - MathWorks\Documents\CSE Info\Accounts\TAMU\SPE Student Group\pipeline-design-with-matlab-and-simulink\synthetic_leak_data\20260915_123012\scenario_0008_l1_070p00_gpm_l2_000p00_gpm.mat,"",4.357636,52.8726023388497,3.6035697069916e-09,53.3066698689351,3.63789758806924e-09
9,80,0,0.8,0,1,0,segment1,completed,C:\Users\agarcian\OneDrive - MathWorks\Documents\CSE Info\Accounts\TAMU\SPE Student Group\pipeline-design-with-matlab-and-simulink\synthetic_leak_data\20260915_123012\scenario_0009_l1_080p00_gpm_l2_000p00_gpm.mat,"",4.7299127,60.4131365168916,3.60140300584457e-09,60.7818355953538,3.62997507344165e-09
10,90,0,0.9,0,1,0,segment1,failed,,"['pipeline_with_pump_leaks/Reservoir/Solver Configuration']: Transient initialization at time 2, solving for consistent states and modes, failed to converge.
Caused by:
    Nonlinear solver: failed to converge, residual norm too large.
        These components have equations that did not converge:

<a href=""matlab:das_dv_hyperlink('DAS', 'mdl', 'pipeline_with_pump_leaks/Check Valve (TL)')"">'pipeline_with_pump_leaks/Check Valve (TL)'</a>
Equation location is:
'fluids.thermal_liquid.valves.pressure_control_valves.pressure_compensator_valve'(no line number info)
Equation location is:
'fluids.thermal_liquid.valves.pressure_control_valves.pressure_compensator_valve'(no line number info)
Equation location is:
'fluids.thermal_liquid.valves.pressure_control_valves.pressure_compensator_valve'(no line number info)
Equation location is:
'fluids.thermal_liquid.valves.pressure_control_valves.pressure_compensator_valve'(no line number info)

<a href=""matlab:das_dv_hyperlink('DAS', 'mdl', 'pipeline_with_pump_leaks/PumpSystem/Main Pump')"">'pipeline_with_pump_leaks/PumpSystem/Main Pump'</a>
Equation location is:
<a href=""matlab:opentoline(which('fluids.thermal_liquid.pumps_motors.centrifugal_pump'), 431)""> 'fluids.thermal_liquid.pumps_motors.centrifugal_pump'</a> (line 431)
Equation location is:
<a href=""matlab:opentoline(which('fluids.thermal_liquid.pumps_motors.centrifugal_pump'), 404)""> 'fluids.thermal_liquid.pumps_motors.centrifugal_pump'</a> (line 404)

<a href=""matlab:das_dv_hyperlink('DAS', 'mdl', 'pipeline_with_pump_leaks/PipeSegment1A')"">'pipeline_with_pump_leaks/PipeSegment1A'</a>
Equation location is:
<a href=""matlab:opentoline(which('foundation.thermal_liquid.port_convection'), 46)""> 'foundation.thermal_liquid.port_convection'</a> (line 46)
Equation location is:
<a href=""matlab:opentoline(which('foundation.thermal_liquid.port_convection'), 92)""> 'foundation.thermal_liquid.port_convection'</a> (line 92)

<a href=""matlab:das_dv_hyperlink('DAS', 'mdl', 'pipeline_with_pump_leaks/PumpSystem/Main Pump')"">'pipeline_with_pump_leaks/PumpSystem/Main Pump'</a>
Equation location is:
<a href=""matlab:opentoline(which('fluids.thermal_liquid.pumps_motors.centrifugal_pump'), 468)""> 'fluids.thermal_liquid.pumps_motors.centrifugal_pump'</a> (line 468)

<a href=""matlab:das_dv_hyperlink('DAS', 'mdl', 'pipeline_with_pump_leaks/PipeSegment1A')"">'pipeline_with_pump_leaks/PipeSegment1A'</a>
Equation location is:
<a href=""matlab:opentoline(which('foundation.thermal_liquid.port_convection'), 46)""> 'foundation.thermal_liquid.port_convection'</a> (line 46)
Equation location is:
<a href=""matlab:opentoline(which('foundation.thermal_liquid.port_convection'), 95)""> 'foundation.thermal_liquid.port_convection'</a> (line 95)
",22.8710317,NaN,NaN,NaN,NaN
